Date	Angle[°]	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]
2021-06-26 19:00:00	37.38496398925781	Budrio_half-right	117	ASCENDING	0.01379588426392335	2.0196635168729537e-05	0.04828932639362417	0.0006548140420878422	-13.161488526980671	-18.602504576614372	0.058891300912630166	0.006357901413923547
2021-06-30 07:00:00	31.31585121154785	Budrio_half-right	168	DESCENDING	0.02859948570876913	0.00029648575876613557	0.13496773199495823	0.004963987994136909	-8.697700499613319	-15.436417765161277	0.1597294821674993	0.045022533029518946
2021-07-01 07:00:00	41.27348327636719	Budrio_half-right	95	DESCENDING	0.01655243701661354	5.9751576890700924e-05	0.05330464184087209	0.0004514610214956002	-12.732349703711899	-17.811380559697824	0.03678235584346565	0.015677316942878983
2021-07-02 19:00:00	37.4510383605957	Budrio_half-right	117	ASCENDING	0.012486422881072198	1.9846196065149186e-05	0.06463328316377455	0.0007989511911159315	-11.895437827482958	-19.03561960786583	0.05368442954266535	0.006902772331161193
2021-07-06 07:00:00	31.383991241455078	Budrio_half-right	168	DESCENDING	0.03661346900227215	0.00048493582729971694	0.15731918261793126	0.003846006406744794	-8.032183187169327	-14.363591212367123	0.10617264417590715	0.05752116901580281
2021-07-07 07:00:00	41.31544876098633	Budrio_half-right	95	DESCENDING	0.0173391974163732	5.3334975905040496e-05	0.06625289210926325	0.0007242002917348274	-11.787951589054295	-17.609710086883638	0.04747206959274554	0.013358799240689969
2021-07-08 19:00:00	37.38300704956055	Budrio_half-right	117	ASCENDING	0.016272343526357067	7.514425538865814e-05	0.048421454743050936	0.00011334493034191496	-13.149621670341245	-17.885498959093805	0.010165964252915492	0.020055338316305165
2021-07-12 07:00:00	31.317941665649414	Budrio_half-right	168	DESCENDING	0.028651385977633424	0.00014204234466818534	0.10745151150577459	0.002897126139940205	-9.687874709682546	-15.428543646955667	0.11709522540183917	0.02153061863539491
2021-07-13 07:00:00	41.275230407714844	Budrio_half-right	95	DESCENDING	0.026483416356538555	0.00013229526997147494	0.07233819843222408	0.0007300960207702052	-11.406323114533965	-15.770259916987293	0.043832536606105976	0.021694748501103898
2021-07-14 19:00:00	37.27525329589844	Budrio_half-right	117	ASCENDING	0.017194847069674297	3.155107818896322e-05	0.07170189699314197	0.0006767678413501385	-11.444693541961403	-17.64601682423644	0.04099145927144055	0.007968933425253382
2021-07-18 07:00:00	31.385862350463867	Budrio_half-right	168	DESCENDING	0.030518155537715443	0.0002542046807465879	0.18076591993748586	0.004366667897746648	-7.428834443153665	-15.154417178992826	0.10491024928544493	0.0361750860027517
2021-07-19 07:00:00	41.317256927490234	Budrio_half-right	95	DESCENDING	0.021575670402787028	5.9917906710715464e-05	0.071372391729688	0.0006717478387242167	-11.464697495426154	-16.660357009333715	0.040875242165523844	0.012060814688889648
2021-07-20 19:00:00	37.38216018676758	Budrio_half-right	117	ASCENDING	0.023906620430315866	9.528692163826196e-05	0.09686529994385973	0.0015730770840000359	-10.138317724007507	-16.214818137714346	0.07052873398271867	0.017310093823453054
2021-07-24 07:00:00	31.316364288330078	Budrio_half-right	168	DESCENDING	0.022448919887032768	0.0001588018347200227	0.12287671824408039	0.0016260554838032177	-9.105303961693279	-16.488045499117142	0.057471173870505	0.03072163867218197
2021-07-25 07:00:00	41.2742805480957	Budrio_half-right	95	DESCENDING	0.030918926867523358	0.0004283154889256231	0.12767599384823722	0.004896544462607176	-8.938907528487658	-15.097755879620173	0.16655771977243786	0.060162195845638505
2021-07-26 19:00:00	37.27690505981445	Budrio_half-right	117	ASCENDING	0.035857625966783234	0.0003799777549915422	0.12506492772708067	0.0049404796998006525	-9.028644635290286	-14.454184672461153	0.1715607333385009	0.04602151921370398
2021-07-30 07:00:00	31.38237953186035	Budrio_half-right	168	DESCENDING	0.04180647158202018	0.0008240490236514366	0.1152194594583119	0.003862655611356791	-9.384741665580519	-13.787564848562319	0.14559433149500592	0.08560395801101174
2021-07-31 07:00:00	41.31319808959961	Budrio_half-right	95	DESCENDING	0.028307878666319508	0.00016168847688843066	0.09607067895841856	0.0011526498376945409	-10.174091400066473	-15.48092674542717	0.052106373089554577	0.024805960957976898
2021-08-01 19:00:00	37.385459899902344	Budrio_half-right	117	ASCENDING	0.034707972919981296	0.0004308178167907673	0.13445343601614426	0.001180807217780419	-8.714280947141376	-14.595707500673926	0.03814094113682535	0.05390744108542342
2021-08-05 07:00:00	31.3158016204834	Budrio_half-right	168	DESCENDING	0.03083174353048535	0.00014690824704252127	0.2084967827944158	0.02349428613761844	-6.809006420111453	-15.110019152910565	0.4893811160570594	0.020693426232467865
2021-08-06 07:00:00	41.273582458496094	Budrio_half-right	95	DESCENDING	0.017038173199528186	3.971657503745512e-05	0.1255461267195819	0.005220631595550177	-9.011966813601425	-17.685769713002284	0.18059430053635994	0.010123555604741027
2021-08-07 19:00:00	36.5545539855957	Budrio_half-right	117	ASCENDING	0.023156952295892715	5.819736484128981e-05	0.11171552899823631	0.0013263553536691061	-9.51886453657117	-16.353185990107725	0.05156210746228688	0.01091455995112336
2021-08-11 07:00:00	31.409421920776367	Budrio_half-right	168	DESCENDING	0.0180953755931193	0.00010124774121796484	0.10328781147483287	0.0012199638053274355	-9.859509245746285	-17.424323981138766	0.05129584422499793	0.024299763820791034
