	Angle[°]	Date	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	SWC[m3/m3]	Pioggia[mm]	Irrigazione[mm]	Temperatura[°C]	VV_norm[dB]	VH_norm[dB]
49	41.29265594482422	2017-07-10 07:00:00	Budrio_half-right	95	DESCENDING	0.0227871320877632	0.000134680028711	0.1232688199646322	0.0034664566489316	-9.091467614395876	-16.423103302313898	0.1221284502293289	0.0256683434609159	0.1093894117273189	0.0	0.0	24.9953	-9.091467614395876	-16.423103302313898
50	37.53768157958984	2017-07-11 19:00:00	Budrio_half-right	117	ASCENDING	0.0386577455331887	0.0001656533240852	0.1600520202043348	0.0031364239062501	-7.957388397450423	-14.127634770287576	0.0851055546599704	0.0186100672884285	0.2912521636056827	0.0	0.0	23.2112	-7.605798914937828	-14.491871424482799
51	31.394371032714844	2017-07-15 07:00:00	Budrio_half-right	168	DESCENDING	0.0297933660129164	0.000154524422541	0.218924194192521	0.0064627251467445	-6.597062401512238	-15.258804280285228	0.1282053762783431	0.0225248479811865	0.1774297845714536	0.0	0.0	20.0226	-8.42820984294909	-16.168915959293862
52	41.31558609008789	2017-07-16 07:00:00	Budrio_half-right	95	DESCENDING	0.0346682881041713	0.000226667088607	0.1544985891229741	0.0047742424092537	-8.1107548218675	-14.600676029720317	0.1342036290025294	0.028394902429372	0.161185263039857	0.0	0.0	18.5159	-8.1107548218675	-14.600676029720317
53	37.378868103027344	2017-07-17 19:00:00	Budrio_half-right	117	ASCENDING	0.0337893120183638	0.0001491110121627	0.1158702360144732	0.0015621243793413	-9.36028108425943	-14.712206507723064	0.0585501524230748	0.019165258451582	0.1432649741223846	0.0	0.0	27.0608	-8.867327989297126	-15.022468312955407
54	31.31795310974121	2017-07-21 07:00:00	Budrio_half-right	168	DESCENDING	0.0393364159934297	0.0002061480162187	0.1630096185687907	0.0087361659071754	-7.877867687978566	-14.052052119098876	0.2327512130749831	0.0227598126667343	0.1678180811495626	0.0	0.0	21.7637	-9.445172800291894	-15.073605652358722
55	41.291805267333984	2017-07-22 07:00:00	Budrio_half-right	95	DESCENDING	0.0245258331810957	5.186298408640159e-05	0.1541185708582526	0.0032466138763285	-8.12145026853771	-16.10376230031357	0.0914871247188513	0.0091837074962743	0.1516997861751517	0.0	0.0	24.2819	-8.12145026853771	-16.10376230031357
56	37.53888702392578	2017-07-23 19:00:00	Budrio_half-right	117	ASCENDING	0.027352189613476	0.0001720109318773	0.1161597476171256	0.0016737699554623	-9.349443402442631	-15.63007901543105	0.0625783948867318	0.0273116703258567	0.1252561897490869	0.0	0.0	32.0736	-8.857582375224787	-15.855591547309778
57	31.39246368408203	2017-07-27 07:00:00	Budrio_half-right	168	DESCENDING	0.0328546491604562	0.0001641659336994	0.1430542621087399	0.0024180113390882	-8.444991984477953	-14.834031660778315	0.0734077381733142	0.0217005388716706	0.2086675585107889	0.0	0.0	18.5568	-9.895471067985792	-15.783370490046584
58	41.313262939453125	2017-07-28 07:00:00	Budrio_half-right	95	DESCENDING	0.0282700777937679	0.0001143439591053	0.1197408071631701	0.0028467309511572	-9.217578186362228	-15.486729964147017	0.1032496416919958	0.0175659051385377	0.1650151824214351	0.0	0.0	20.9465	-9.217578186362228	-15.486729964147017
