Field name;Date;Parameter name;Parameter value
Budrio_campo_safe_half;11/10/2019;TERRASCOPE_S2_NDVI_V2;0.192129032
Budrio_campo_safe_half;16/10/2019;TERRASCOPE_S2_NDVI_V2;0.238064516
Budrio_campo_safe_half;21/10/2019;TERRASCOPE_S2_NDVI_V2;0.158451613
Budrio_campo_safe_half;26/10/2019;TERRASCOPE_S2_NDVI_V2;0.185290323
Budrio_campo_safe_half;10/11/2019;TERRASCOPE_S2_NDVI_V2;0.304
Budrio_campo_safe_half;30/11/2019;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;05/12/2019;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;10/12/2019;TERRASCOPE_S2_NDVI_V2;0.186709677
Budrio_campo_safe_half;15/12/2019;TERRASCOPE_S2_NDVI_V2;0.220258065
Budrio_campo_safe_half;25/12/2019;TERRASCOPE_S2_NDVI_V2;0.244903226
Budrio_campo_safe_half;30/12/2019;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;04/01/2020;TERRASCOPE_S2_NDVI_V2;0.257935484
Budrio_campo_safe_half;09/01/2020;TERRASCOPE_S2_NDVI_V2;0.210580645
Budrio_campo_safe_half;14/01/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;19/01/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;24/01/2020;TERRASCOPE_S2_NDVI_V2;0.187096774
Budrio_campo_safe_half;29/01/2020;TERRASCOPE_S2_NDVI_V2;0.251741935
Budrio_campo_safe_half;08/02/2020;TERRASCOPE_S2_NDVI_V2;0.202709677
Budrio_campo_safe_half;13/02/2020;TERRASCOPE_S2_NDVI_V2;0.188129032
Budrio_campo_safe_half;18/02/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;28/02/2020;TERRASCOPE_S2_NDVI_V2;0.222322581
Budrio_campo_safe_half;04/03/2020;TERRASCOPE_S2_NDVI_V2;0.211870968
Budrio_campo_safe_half;09/03/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;14/03/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;19/03/2020;TERRASCOPE_S2_NDVI_V2;0.166967742
Budrio_campo_safe_half;24/03/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;29/03/2020;TERRASCOPE_S2_NDVI_V2;0.204516129
Budrio_campo_safe_half;03/04/2020;TERRASCOPE_S2_NDVI_V2;0.178709677
Budrio_campo_safe_half;08/04/2020;TERRASCOPE_S2_NDVI_V2;0.14683871
Budrio_campo_safe_half;23/04/2020;TERRASCOPE_S2_NDVI_V2;0.172903226
Budrio_campo_safe_half;03/05/2020;TERRASCOPE_S2_NDVI_V2;0.2648
Budrio_campo_safe_half;08/05/2020;TERRASCOPE_S2_NDVI_V2;0.183483871
Budrio_campo_safe_half;23/05/2020;TERRASCOPE_S2_NDVI_V2;0.384
Budrio_campo_safe_half;02/06/2020;TERRASCOPE_S2_NDVI_V2;0.652258065
Budrio_campo_safe_half;07/06/2020;TERRASCOPE_S2_NDVI_V2;0.65888
Budrio_campo_safe_half;12/06/2020;TERRASCOPE_S2_NDVI_V2;0.825290323
Budrio_campo_safe_half;17/06/2020;TERRASCOPE_S2_NDVI_V2;0.817935484
Budrio_campo_safe_half;22/06/2020;TERRASCOPE_S2_NDVI_V2;0.834709677
Budrio_campo_safe_half;27/06/2020;TERRASCOPE_S2_NDVI_V2;0.830967742
Budrio_campo_safe_half;02/07/2020;TERRASCOPE_S2_NDVI_V2;0.794709677
Budrio_campo_safe_half;07/07/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;12/07/2020;TERRASCOPE_S2_NDVI_V2;NaN
Budrio_campo_safe_half;22/07/2020;TERRASCOPE_S2_NDVI_V2;0.726451613
